"ID" "Country" "LS" "tight" "I1" "I2" "I3" "I4" "I5" "I6" "I7" "I8" "I9" "I10" "I11" "I12" "I13" "I14"
"1" 1 1 4.58957557706162 4.52459344360977 1 3 1 6 2 4 6 3 7 4 6 7 2 7
"2" 2 1 1.1688110018149 5.34188348823227 7 5 3 5 2 1 6 5 1 7 7 7 4 6
"3" 3 1 2.87287626042962 5.46927298931405 1 6 6 6 7 3 6 6 6 6 4 6 2 4
"4" 4 1 2.46523203747347 11.1730467570014 3 4 7 5 3 2 5 5 5 5 5 7 7 4
"5" 5 1 1.11576963681728 5.64342990098521 3 4 1 6 7 6 2 2 3 7 5 2 1 7
"6" 6 1 1.03695718292147 5.84643468470313 1 7 3 1 5 1 7 1 5 3 6 2 2 4
"7" 7 1 2.97268655244261 3.99095938820392 2 7 2 6 7 4 6 5 5 3 3 1 7 1
"8" 8 1 5.16793993255123 7.22397111961618 1 3 4 5 5 6 3 2 2 6 1 1 7 5
"9" 9 1 1.42539061047137 9.67343200207688 2 3 6 6 7 1 5 1 6 5 3 4 6 3
"10" 10 1 5.93280959082767 8.57228061626665 3 6 1 4 4 2 5 4 7 5 5 3 1 4
"11" 11 1 1.47674256935716 11.9806361210067 3 1 6 2 4 7 6 6 7 4 3 7 4 5
"12" 12 1 3.46862258622423 7.13724128832109 6 2 7 3 4 2 3 5 6 1 6 2 3 3
"13" 13 1 3.6482660677284 9.62612039083615 6 4 4 1 5 4 1 3 2 2 3 4 7 5
"14" 14 1 3.33420904306695 6.68383620423265 6 3 7 5 2 7 1 3 6 5 6 2 4 1
"15" 15 1 2.96017189603299 11.5443172096275 4 4 2 7 1 7 4 5 2 6 5 5 5 6
"16" 16 1 1.14351458149031 9.34499371657148 3 3 1 4 2 2 1 1 4 6 7 6 7 6
"17" 17 1 1.38383851572871 11.3994928011671 2 1 5 3 6 6 3 3 6 1 3 2 7 7
"18" 18 1 2.14984996523708 1.65166444191709 7 5 6 6 4 1 2 3 2 7 7 5 4 5
"19" 19 1 3.5937642888166 2.94747255183756 5 3 6 4 7 7 1 7 2 2 2 1 4 2
"20" 20 1 2.34578249230981 5.98199684079736 5 6 3 1 2 4 5 2 5 5 6 7 3 2
"21" 21 2 4.95339158829302 11.0385304873344 1 3 6 5 3 3 2 3 6 3 7 3 6 2
